Category: All categories

Month,air conditioner: (United States)
2004-01,6
2004-02,5
2004-03,11
2004-04,19
2004-05,37
2004-06,38
2004-07,35
2004-08,21
2004-09,13
2004-10,8
2004-11,6
2004-12,4
2005-01,5
2005-02,6
2005-03,8
2005-04,14
2005-05,22
2005-06,56
2005-07,43
2005-08,31
2005-09,13
2005-10,9
2005-11,6
2005-12,4
2006-01,5
2006-02,6
2006-03,8
2006-04,15
2006-05,28
2006-06,41
2006-07,57
2006-08,26
2006-09,10
2006-10,7
2006-11,5
2006-12,4
2007-01,5
2007-02,5
2007-03,10
2007-04,13
2007-05,29
2007-06,39
2007-07,33
2007-08,27
2007-09,14
2007-10,8
2007-11,5
2007-12,4
2008-01,4
2008-02,5
2008-03,7
2008-04,13
2008-05,21
2008-06,50
2008-07,30
2008-08,16
2008-09,11
2008-10,7
2008-11,4
2008-12,4
2009-01,5
2009-02,5
2009-03,8
2009-04,15
2009-05,23
2009-06,36
2009-07,33
2009-08,25
2009-09,11
2009-10,8
2009-11,5
2009-12,5
2010-01,5
2010-02,5
2010-03,8
2010-04,14
2010-05,30
2010-06,47
2010-07,49
2010-08,26
2010-09,13
2010-10,8
2010-11,6
2010-12,5
2011-01,5
2011-02,6
2011-03,9
2011-04,16
2011-05,30
2011-06,46
2011-07,59
2011-08,31
2011-09,15
2011-10,10
2011-11,6
2011-12,5
2012-01,5
2012-02,6
2012-03,13
2012-04,16
2012-05,37
2012-06,49
2012-07,61
2012-08,30
2012-09,16
2012-10,9
2012-11,5
2012-12,4
2013-01,5
2013-02,6
2013-03,9
2013-04,17
2013-05,36
2013-06,51
2013-07,56
2013-08,26
2013-09,19
2013-10,9
2013-11,6
2013-12,4
2014-01,6
2014-02,7
2014-03,9
2014-04,17
2014-05,39
2014-06,50
2014-07,48
2014-08,28
2014-09,20
2014-10,9
2014-11,6
2014-12,5
2015-01,6
2015-02,6
2015-03,12
2015-04,16
2015-05,38
2015-06,60
2015-07,53
2015-08,35
2015-09,22
2015-10,11
2015-11,7
2015-12,6
2016-01,7
2016-02,9
2016-03,13
2016-04,22
2016-05,47
2016-06,69
2016-07,62
2016-08,43
2016-09,22
2016-10,12
2016-11,9
2016-12,8
2017-01,8
2017-02,9
2017-03,15
2017-04,26
2017-05,40
2017-06,74
2017-07,63
2017-08,35
2017-09,26
2017-10,15
2017-11,8
2017-12,7
2018-01,8
2018-02,11
2018-03,12
2018-04,19
2018-05,62
2018-06,67
2018-07,79
2018-08,45
2018-09,25
2018-10,14
2018-11,9
2018-12,7
2019-01,8
2019-02,10
2019-03,14
2019-04,26
2019-05,47
2019-06,68
2019-07,85
2019-08,39
2019-09,24
2019-10,13
2019-11,9
2019-12,8
2020-01,8
2020-02,10
2020-03,13
2020-04,22
2020-05,58
2020-06,82
2020-07,94
2020-08,55
2020-09,28
2020-10,17
2020-11,10
2020-12,9
2021-01,10
2021-02,12
2021-03,18
2021-04,30
2021-05,57
2021-06,100
2021-07,66
2021-08,48
2021-09,27
2021-10,17
2021-11,13
2021-12,10
2022-01,10
2022-02,12
2022-03,17
2022-04,26
2022-05,59
2022-06,77
2022-07,77
2022-08,48
2022-09,29
2022-10,15
2022-11,10
2022-12,9
2023-01,9
2023-02,11
2023-03,13
2023-04,28
2023-05,41
2023-06,58
2023-07,79
2023-08,45
2023-09,23
2023-10,14
