Category: All categories

Month,cooling: (United States)
2004-01,41
2004-02,42
2004-03,45
2004-04,43
2004-05,48
2004-06,56
2004-07,53
2004-08,49
2004-09,46
2004-10,40
2004-11,36
2004-12,35
2005-01,39
2005-02,37
2005-03,40
2005-04,40
2005-05,44
2005-06,60
2005-07,56
2005-08,49
2005-09,38
2005-10,38
2005-11,35
2005-12,35
2006-01,35
2006-02,34
2006-03,36
2006-04,38
2006-05,45
2006-06,51
2006-07,54
2006-08,42
2006-09,35
2006-10,35
2006-11,32
2006-12,31
2007-01,32
2007-02,36
2007-03,34
2007-04,35
2007-05,39
2007-06,48
2007-07,44
2007-08,43
2007-09,34
2007-10,33
2007-11,33
2007-12,32
2008-01,33
2008-02,33
2008-03,32
2008-04,37
2008-05,38
2008-06,53
2008-07,45
2008-08,36
2008-09,32
2008-10,32
2008-11,29
2008-12,32
2009-01,33
2009-02,29
2009-03,33
2009-04,37
2009-05,38
2009-06,50
2009-07,46
2009-08,42
2009-09,36
2009-10,37
2009-11,31
2009-12,35
2010-01,34
2010-02,33
2010-03,33
2010-04,36
2010-05,43
2010-06,51
2010-07,46
2010-08,40
2010-09,33
2010-10,32
2010-11,31
2010-12,31
2011-01,33
2011-02,32
2011-03,34
2011-04,36
2011-05,38
2011-06,52
2011-07,57
2011-08,40
2011-09,36
2011-10,33
2011-11,31
2011-12,29
2012-01,31
2012-02,31
2012-03,33
2012-04,35
2012-05,43
2012-06,51
2012-07,54
2012-08,41
2012-09,35
2012-10,33
2012-11,31
2012-12,29
2013-01,31
2013-02,31
2013-03,31
2013-04,36
2013-05,45
2013-06,53
2013-07,56
2013-08,40
2013-09,38
2013-10,37
2013-11,35
2013-12,35
2014-01,37
2014-02,35
2014-03,33
2014-04,37
2014-05,48
2014-06,56
2014-07,53
2014-08,45
2014-09,40
2014-10,37
2014-11,36
2014-12,30
2015-01,33
2015-02,34
2015-03,35
2015-04,39
2015-05,48
2015-06,64
2015-07,61
2015-08,52
2015-09,42
2015-10,39
2015-11,38
2015-12,36
2016-01,38
2016-02,38
2016-03,37
2016-04,43
2016-05,53
2016-06,71
2016-07,66
2016-08,53
2016-09,42
2016-10,40
2016-11,39
2016-12,40
2017-01,38
2017-02,39
2017-03,41
2017-04,46
2017-05,50
2017-06,73
2017-07,70
2017-08,53
2017-09,47
2017-10,45
2017-11,45
2017-12,43
2018-01,42
2018-02,42
2018-03,40
2018-04,44
2018-05,69
2018-06,72
2018-07,79
2018-08,61
2018-09,48
2018-10,48
2018-11,46
2018-12,40
2019-01,44
2019-02,46
2019-03,43
2019-04,50
2019-05,63
2019-06,70
2019-07,84
2019-08,59
2019-09,52
2019-10,48
2019-11,46
2019-12,43
2020-01,45
2020-02,43
2020-03,37
2020-04,50
2020-05,69
2020-06,87
2020-07,96
2020-08,69
2020-09,58
2020-10,54
2020-11,48
2020-12,50
2021-01,47
2021-02,52
2021-03,53
2021-04,59
2021-05,70
2021-06,100
2021-07,78
2021-08,71
2021-09,61
2021-10,55
2021-11,57
2021-12,52
2022-01,55
2022-02,53
2022-03,56
2022-04,57
2022-05,77
2022-06,94
2022-07,96
2022-08,72
2022-09,60
2022-10,54
2022-11,53
2022-12,54
2023-01,46
2023-02,51
2023-03,51
2023-04,60
2023-05,68
2023-06,83
2023-07,98
2023-08,77
