Category: All categories

Month,electric fan: (United States)
2004-01,53
2004-02,55
2004-03,49
2004-04,63
2004-05,65
2004-06,81
2004-07,98
2004-08,80
2004-09,86
2004-10,37
2004-11,49
2004-12,52
2005-01,59
2005-02,39
2005-03,55
2005-04,57
2005-05,65
2005-06,83
2005-07,81
2005-08,75
2005-09,63
2005-10,58
2005-11,57
2005-12,46
2006-01,41
2006-02,37
2006-03,43
2006-04,50
2006-05,67
2006-06,79
2006-07,81
2006-08,63
2006-09,49
2006-10,54
2006-11,41
2006-12,41
2007-01,42
2007-02,42
2007-03,45
2007-04,38
2007-05,61
2007-06,62
2007-07,69
2007-08,62
2007-09,51
2007-10,43
2007-11,46
2007-12,38
2008-01,43
2008-02,35
2008-03,42
2008-04,47
2008-05,56
2008-06,69
2008-07,67
2008-08,62
2008-09,42
2008-10,45
2008-11,39
2008-12,38
2009-01,44
2009-02,39
2009-03,42
2009-04,43
2009-05,48
2009-06,58
2009-07,63
2009-08,52
2009-09,42
2009-10,41
2009-11,39
2009-12,37
2010-01,42
2010-02,43
2010-03,43
2010-04,41
2010-05,54
2010-06,64
2010-07,65
2010-08,59
2010-09,48
2010-10,41
2010-11,36
2010-12,40
2011-01,43
2011-02,39
2011-03,48
2011-04,52
2011-05,54
2011-06,67
2011-07,73
2011-08,62
2011-09,51
2011-10,49
2011-11,45
2011-12,40
2012-01,38
2012-02,44
2012-03,45
2012-04,48
2012-05,56
2012-06,67
2012-07,74
2012-08,55
2012-09,50
2012-10,46
2012-11,41
2012-12,39
2013-01,42
2013-02,41
2013-03,41
2013-04,47
2013-05,55
2013-06,66
2013-07,69
2013-08,60
2013-09,52
2013-10,50
2013-11,45
2013-12,40
2014-01,43
2014-02,43
2014-03,46
2014-04,55
2014-05,64
2014-06,67
2014-07,72
2014-08,66
2014-09,57
2014-10,50
2014-11,48
2014-12,38
2015-01,44
2015-02,46
2015-03,51
2015-04,55
2015-05,67
2015-06,77
2015-07,79
2015-08,75
2015-09,61
2015-10,49
2015-11,50
2015-12,40
2016-01,49
2016-02,54
2016-03,53
2016-04,57
2016-05,68
2016-06,82
2016-07,84
2016-08,72
2016-09,63
2016-10,55
2016-11,49
2016-12,51
2017-01,47
2017-02,51
2017-03,55
2017-04,61
2017-05,67
2017-06,84
2017-07,89
2017-08,71
2017-09,67
2017-10,60
2017-11,57
2017-12,53
2018-01,55
2018-02,57
2018-03,53
2018-04,59
2018-05,76
2018-06,89
2018-07,99
2018-08,78
2018-09,63
2018-10,54
2018-11,57
2018-12,49
2019-01,52
2019-02,52
2019-03,56
2019-04,67
2019-05,69
2019-06,86
2019-07,94
2019-08,83
2019-09,62
2019-10,56
2019-11,54
2019-12,49
2020-01,50
2020-02,49
2020-03,48
2020-04,61
2020-05,81
2020-06,91
2020-07,100
2020-08,89
2020-09,68
2020-10,65
2020-11,56
2020-12,55
2021-01,53
2021-02,61
2021-03,60
2021-04,68
2021-05,74
2021-06,95
2021-07,86
2021-08,80
2021-09,65
2021-10,58
2021-11,59
2021-12,51
2022-01,66
2022-02,61
2022-03,63
2022-04,65
2022-05,78
2022-06,95
2022-07,96
2022-08,88
2022-09,72
2022-10,64
2022-11,58
2022-12,57
2023-01,53
2023-02,57
2023-03,56
2023-04,65
2023-05,73
2023-06,85
2023-07,98
2023-08,92
