Category: All categories

Month,heater: (United States)
2004-01,35
2004-02,24
2004-03,19
2004-04,17
2004-05,17
2004-06,17
2004-07,17
2004-08,19
2004-09,20
2004-10,28
2004-11,32
2004-12,36
2005-01,31
2005-02,23
2005-03,20
2005-04,17
2005-05,17
2005-06,17
2005-07,16
2005-08,17
2005-09,21
2005-10,34
2005-11,32
2005-12,41
2006-01,27
2006-02,24
2006-03,20
2006-04,17
2006-05,17
2006-06,16
2006-07,16
2006-08,17
2006-09,20
2006-10,30
2006-11,31
2006-12,34
2007-01,34
2007-02,31
2007-03,21
2007-04,18
2007-05,17
2007-06,17
2007-07,15
2007-08,17
2007-09,19
2007-10,26
2007-11,35
2007-12,38
2008-01,36
2008-02,27
2008-03,22
2008-04,20
2008-05,19
2008-06,20
2008-07,18
2008-08,18
2008-09,22
2008-10,35
2008-11,39
2008-12,42
2009-01,40
2009-02,29
2009-03,23
2009-04,20
2009-05,20
2009-06,19
2009-07,17
2009-08,18
2009-09,21
2009-10,33
2009-11,31
2009-12,44
2010-01,41
2010-02,31
2010-03,24
2010-04,20
2010-05,19
2010-06,17
2010-07,16
2010-08,16
2010-09,19
2010-10,28
2010-11,38
2010-12,43
2011-01,40
2011-02,33
2011-03,25
2011-04,22
2011-05,19
2011-06,19
2011-07,17
2011-08,18
2011-09,23
2011-10,33
2011-11,41
2011-12,43
2012-01,38
2012-02,29
2012-03,23
2012-04,20
2012-05,19
2012-06,17
2012-07,16
2012-08,18
2012-09,22
2012-10,33
2012-11,42
2012-12,39
2013-01,43
2013-02,32
2013-03,26
2013-04,21
2013-05,20
2013-06,19
2013-07,19
2013-08,19
2013-09,22
2013-10,35
2013-11,49
2013-12,53
2014-01,55
2014-02,39
2014-03,29
2014-04,22
2014-05,22
2014-06,20
2014-07,20
2014-08,21
2014-09,26
2014-10,35
2014-11,60
2014-12,43
2015-01,49
2015-02,43
2015-03,29
2015-04,24
2015-05,23
2015-06,24
2015-07,22
2015-08,23
2015-09,26
2015-10,40
2015-11,47
2015-12,49
2016-01,56
2016-02,38
2016-03,29
2016-04,26
2016-05,26
2016-06,26
2016-07,23
2016-08,23
2016-09,28
2016-10,39
2016-11,51
2016-12,68
2017-01,52
2017-02,36
2017-03,33
2017-04,29
2017-05,28
2017-06,27
2017-07,29
2017-08,27
2017-09,31
2017-10,49
2017-11,58
2017-12,74
2018-01,77
2018-02,45
2018-03,38
2018-04,32
2018-05,28
2018-06,28
2018-07,27
2018-08,29
2018-09,31
2018-10,52
2018-11,77
2018-12,64
2019-01,69
2019-02,55
2019-03,43
2019-04,30
2019-05,32
2019-06,29
2019-07,29
2019-08,28
2019-09,33
2019-10,55
2019-11,74
2019-12,66
2020-01,56
2020-02,46
2020-03,33
2020-04,35
2020-05,37
2020-06,35
2020-07,30
2020-08,31
2020-09,41
2020-10,65
2020-11,69
2020-12,84
2021-01,68
2021-02,91
2021-03,47
2021-04,39
2021-05,37
2021-06,33
2021-07,30
2021-08,31
2021-09,39
2021-10,55
2021-11,77
2021-12,67
2022-01,91
2022-02,62
2022-03,46
2022-04,38
2022-05,35
2022-06,34
2022-07,32
2022-08,34
2022-09,40
2022-10,59
2022-11,81
2022-12,100
2023-01,63
2023-02,57
2023-03,45
2023-04,38
2023-05,35
2023-06,35
2023-07,33
2023-08,32
2023-09,36
2023-10,54
