Category: All categories

Month,summer: (United States)
2004-01,27
2004-02,30
2004-03,36
2004-04,44
2004-05,54
2004-06,60
2004-07,42
2004-08,30
2004-09,17
2004-10,14
2004-11,16
2004-12,17
2005-01,27
2005-02,30
2005-03,37
2005-04,46
2005-05,54
2005-06,66
2005-07,48
2005-08,28
2005-09,18
2005-10,17
2005-11,17
2005-12,17
2006-01,27
2006-02,32
2006-03,35
2006-04,44
2006-05,56
2006-06,69
2006-07,48
2006-08,26
2006-09,17
2006-10,15
2006-11,15
2006-12,15
2007-01,24
2007-02,27
2007-03,36
2007-04,42
2007-05,60
2007-06,67
2007-07,49
2007-08,29
2007-09,18
2007-10,15
2007-11,15
2007-12,16
2008-01,26
2008-02,30
2008-03,38
2008-04,47
2008-05,60
2008-06,81
2008-07,54
2008-08,38
2008-09,20
2008-10,16
2008-11,16
2008-12,18
2009-01,27
2009-02,30
2009-03,39
2009-04,46
2009-05,59
2009-06,68
2009-07,53
2009-08,36
2009-09,21
2009-10,17
2009-11,16
2009-12,19
2010-01,27
2010-02,34
2010-03,39
2010-04,46
2010-05,59
2010-06,72
2010-07,51
2010-08,33
2010-09,19
2010-10,15
2010-11,15
2010-12,16
2011-01,25
2011-02,30
2011-03,37
2011-04,44
2011-05,59
2011-06,82
2011-07,59
2011-08,36
2011-09,20
2011-10,16
2011-11,15
2011-12,15
2012-01,25
2012-02,28
2012-03,37
2012-04,48
2012-05,79
2012-06,79
2012-07,69
2012-08,42
2012-09,23
2012-10,16
2012-11,15
2012-12,17
2013-01,24
2013-02,28
2013-03,35
2013-04,48
2013-05,66
2013-06,87
2013-07,67
2013-08,38
2013-09,21
2013-10,16
2013-11,16
2013-12,17
2014-01,27
2014-02,35
2014-03,40
2014-04,51
2014-05,73
2014-06,91
2014-07,70
2014-08,39
2014-09,23
2014-10,18
2014-11,17
2014-12,19
2015-01,25
2015-02,30
2015-03,39
2015-04,47
2015-05,69
2015-06,90
2015-07,72
2015-08,50
2015-09,25
2015-10,18
2015-11,18
2015-12,19
2016-01,28
2016-02,36
2016-03,41
2016-04,52
2016-05,68
2016-06,89
2016-07,68
2016-08,55
2016-09,21
2016-10,17
2016-11,16
2016-12,17
2017-01,25
2017-02,29
2017-03,37
2017-04,47
2017-05,64
2017-06,84
2017-07,70
2017-08,40
2017-09,21
2017-10,17
2017-11,17
2017-12,17
2018-01,25
2018-02,33
2018-03,36
2018-04,46
2018-05,69
2018-06,84
2018-07,69
2018-08,41
2018-09,22
2018-10,17
2018-11,17
2018-12,18
2019-01,25
2019-02,29
2019-03,38
2019-04,50
2019-05,68
2019-06,87
2019-07,72
2019-08,41
2019-09,22
2019-10,20
2019-11,20
2019-12,19
2020-01,26
2020-02,30
2020-03,27
2020-04,32
2020-05,51
2020-06,62
2020-07,46
2020-08,31
2020-09,21
2020-10,15
2020-11,13
2020-12,15
2021-01,17
2021-02,23
2021-03,32
2021-04,43
2021-05,59
2021-06,94
2021-07,58
2021-08,41
2021-09,21
2021-10,17
2021-11,20
2021-12,18
2022-01,26
2022-02,33
2022-03,39
2022-04,46
2022-05,67
2022-06,100
2022-07,79
2022-08,42
2022-09,24
2022-10,19
2022-11,19
2022-12,20
2023-01,28
2023-02,33
2023-03,39
2023-04,51
2023-05,74
2023-06,93
2023-07,84
2023-08,52
