Category: All categories

Month,winter: (United States)
2004-01,31
2004-02,19
2004-03,11
2004-04,10
2004-05,9
2004-06,10
2004-07,10
2004-08,15
2004-09,16
2004-10,22
2004-11,30
2004-12,46
2005-01,30
2005-02,18
2005-03,13
2005-04,10
2005-05,9
2005-06,9
2005-07,10
2005-08,13
2005-09,16
2005-10,23
2005-11,34
2005-12,46
2006-01,33
2006-02,52
2006-03,16
2006-04,11
2006-05,10
2006-06,10
2006-07,11
2006-08,13
2006-09,17
2006-10,24
2006-11,29
2006-12,42
2007-01,31
2007-02,22
2007-03,14
2007-04,11
2007-05,10
2007-06,10
2007-07,11
2007-08,13
2007-09,17
2007-10,23
2007-11,34
2007-12,47
2008-01,31
2008-02,21
2008-03,15
2008-04,11
2008-05,10
2008-06,10
2008-07,12
2008-08,18
2008-09,17
2008-10,25
2008-11,32
2008-12,49
2009-01,33
2009-02,21
2009-03,15
2009-04,11
2009-05,11
2009-06,11
2009-07,12
2009-08,14
2009-09,19
2009-10,28
2009-11,32
2009-12,51
2010-01,39
2010-02,68
2010-03,19
2010-04,11
2010-05,11
2010-06,11
2010-07,11
2010-08,14
2010-09,17
2010-10,23
2010-11,33
2010-12,51
2011-01,41
2011-02,27
2011-03,16
2011-04,12
2011-05,12
2011-06,11
2011-07,13
2011-08,16
2011-09,22
2011-10,29
2011-11,37
2011-12,50
2012-01,40
2012-02,24
2012-03,16
2012-04,13
2012-05,12
2012-06,12
2012-07,17
2012-08,21
2012-09,22
2012-10,29
2012-11,40
2012-12,51
2013-01,39
2013-02,26
2013-03,20
2013-04,14
2013-05,13
2013-06,13
2013-07,14
2013-08,19
2013-09,22
2013-10,32
2013-11,46
2013-12,63
2014-01,54
2014-02,76
2014-03,26
2014-04,22
2014-05,16
2014-06,16
2014-07,19
2014-08,21
2014-09,29
2014-10,33
2014-11,53
2014-12,61
2015-01,48
2015-02,35
2015-03,21
2015-04,15
2015-05,16
2015-06,15
2015-07,16
2015-08,24
2015-09,25
2015-10,35
2015-11,49
2015-12,64
2016-01,51
2016-02,30
2016-03,19
2016-04,17
2016-05,17
2016-06,18
2016-07,20
2016-08,24
2016-09,25
2016-10,34
2016-11,48
2016-12,74
2017-01,45
2017-02,28
2017-03,22
2017-04,16
2017-05,16
2017-06,16
2017-07,19
2017-08,21
2017-09,27
2017-10,36
2017-11,53
2017-12,72
2018-01,57
2018-02,80
2018-03,24
2018-04,17
2018-05,15
2018-06,15
2018-07,17
2018-08,20
2018-09,25
2018-10,37
2018-11,62
2018-12,66
2019-01,52
2019-02,36
2019-03,22
2019-04,17
2019-05,16
2019-06,15
2019-07,16
2019-08,20
2019-09,26
2019-10,37
2019-11,57
2019-12,80
2020-01,41
2020-02,30
2020-03,16
2020-04,13
2020-05,14
2020-06,14
2020-07,15
2020-08,18
2020-09,27
2020-10,38
2020-11,43
2020-12,75
2021-01,38
2021-02,41
2021-03,27
2021-04,28
2021-05,16
2021-06,17
2021-07,19
2021-08,23
2021-09,26
2021-10,35
2021-11,57
2021-12,79
2022-01,76
2022-02,86
2022-03,34
2022-04,19
2022-05,16
2022-06,16
2022-07,19
2022-08,22
2022-09,28
2022-10,41
2022-11,62
2022-12,100
2023-01,54
2023-02,44
2023-03,28
2023-04,18
2023-05,15
2023-06,16
2023-07,18
2023-08,22
